"Timestamp","1.   Jakie studia ukończyłaś/-eś?","2. 	Czy określiłabyś/-łbyś kognitywistykę jako Twój podstawowy kierunek studiów? ","3. 	Czy ukończyłeś jeszcze inne kierunki studiów?","4.	W jakim ośrodku zakończyłaś/-eś studia licencjackie w zakresie kognitywistyki?","5.	W którym roku zakończyłaś/-eś studia?","6.	Które określenie najlepiej opisuje specjalizację zrealizowaną w obrębie Twoich studiów w zakresie kognitywistyki?","7.	Czy ukończyłeś również studia licencjackie w zakresie kognitywistyki?","9.	W którym roku zakończyłaś/-eś studia?","8	W jakim ośrodku zakończyłaś/-eś studia magisterskie w zakresie kognitywistyki?","10.	Które określenia najlepiej opisują specjalizację zrealizowaną w obrębie Twoich studiów w zakresie kognitywistyki?","11. 	Co uważasz za najmocniejszą stronę studiów z kognitywistyki?","12.  	Co uważasz za najsłabszą stronę studiów z kognitywistyki?","13.	Jak oceniasz w jakim stopniu studia na kognitywistyce przygotowały Cię do wejścia na rynek pracy?","14. 	Jak można lepiej przygotowywać studentów kognitywistyki do wejścia na rynek pracy?","15. Czy jesteś aktywna/-y zawodowo?","16. 	Jak oceniasz stopień trudności znalezienia pracy w Polsce ogólnie?","17.	Ile czasu potrzebowałaś/-eś by znaleźć pracę po ukończeniu studiów?","18.	W jaki sposób szukałaś/-eś pracy?","19.	Czy musiałaś/-eś zmienić miejsce zamieszkania po ukończeniu studiów wyłącznie po to żeby znaleźć pracę?","20. 	Czy musiałaś/-eś się doszkolić lub przekwalifikować żeby znaleźć zadowalającą pracę?","21.	Czy musiałaś/-eś się doszkolić by znaleźć pracę (rozwinąć kompetencje nabyte w trakcie studiów)? ","22.	Czy musiałaś/-eś się przekwalifikować (nabyć zupełnie nowe kompetencje)?","23.	Jaka jest Twoja obecna sytuacja zawodowa? ","24. 	 Jaki jest Twój ogólny staż pracy?","25. 	Jaki zawód obecnie wykonujesz?","26. 	Jaki zawód chciałabyś/-łbyś wykonywać?","27.	Czy wykonywana przez Ciebie praca jest zgodna z kierunkiem studiów?","28. 	Jaki jest Twój średni miesięczny dochód osobisty brutto z realizowanej pracy w złotych?","29. 	Jak bardzo jesteś zadowolona/-y ze swojej pracy?","30. 	Jak bardzo jesteś zadowolona/-y ze swoich zarobków?","31.  	Czy ponownie zdecydowałabyś/-byś się na ten kierunek studiów? ","32.	Jak często wykorzystujesz umiejętności nabyte w trakcie studiów w ramach swoich codziennych obowiązków w pracy?","33. 	Jak komentowano ukończony kierunek podczas rekrutacji do pracy?","34. 	Płeć","35. 	Wiek","36. 	Stan cywilny","37. 	Kraj zamieszkania","38. 	Wielkość miejsca zamieszkania"
"2020/05/07 8:47:02 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Jagielloński","2016","Humanistyczne;Psychologiczne i społeczne","","","","","interdyscyplinarność","niespójność, eklektyczność","5","","Tak","3","2-3 miesiące","otrzymałem propozycję pracy od organizacji zainteresowanej tematyką mojej pracy dyplomowej","Nie","Nie","","","","","","","","","5","4","5","4","4","Mężczyzna","23 - 25","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:00:22 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","Tak, antropologie","","","","Nie","2018","Uniwersytet Warszawski","Biologiczne i przyrodnicze;Informatyczne;Matematyczne","interdyscyplinarnosc","organizacja","3","wyzszym poziomem","Tak","3","10-12 miesięcy","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm);pracuje za granica, nie szukalam pracy w Polsce","Nie","Nie","","","","","","","","","4","2","4","5","3","Kobieta","36 - 40","Zamężna, Żonaty","Norwegia","Miasto do 500 tys. mieszkańców"
"2020/05/07 9:01:30 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","Nie","","","","Nie","2016","Uniwersytet im. Adama Mickiewicza w Poznaniu","Humanistyczne;Psychologiczne i społeczne;Filozoficzne","Wszechstronność przedmiotów, możliwości po studiach","Za mało fakultetów, które pozwolą też ukierunkować się w późniejszym czasie ","4","Wprowadzić praktyki w miejscach pracy, ośrodkach","Tak","3","2-3 miesiące","Strona internetowa pracodawcy;Wbrałam placowkę w której chciałabym odbyć staż, nastpnie zostałam w niej zatrudniona","Nie","Nie","","","","","","","","","5","3","5","5","5","Kobieta","26 - 30","Panna, Kawaler","PL","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:03:25 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","nie","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2019","Biologiczne i przyrodnicze;Humanistyczne;Psychologiczne i społeczne","","","","","pomagają poszerzyć perspektywy, otwierają umysł, uczą myśleć","brak realnych perspektyw zawodowych ","3","Uczyć ich konkretnych umiejętności przydatnych na rynku pracy. Za czasów kiedy ja studiowałam praktyczne umiejętności nabywały tylko osoby ze specjalizacji SIL a ZJK pozostawało na gruncie wiedzy teoretycznej. Oczywiście na podstawie zjk też miało np. programowanie ale na tak podstawowym poziomie do niczego nie przydatne. Zamiast uczyć zjk podstaw programowania warto poświęcić ten czas na inne umiejętności w ramach tej specjalizacji. ","Tak","2","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl)","Tak","Nie","","","","","","","","","4","3","5","3","3","Kobieta","23 - 25","Panna, Kawaler","polska","Miasto do 100 tys. mieszkańców"
"2020/05/07 9:06:23 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2016","Humanistyczne;Psychologiczne i społeczne","","","","","różnorodność zagadnień i zajęć - nie ograniczająca się do jednego kierunku (nie tylko psychologia, ale też informatyka)","plan studiów jednak zbyt humanistyczny, za bardzo nieukierunkowany","2","szybciej dać wybór w jakim kierunku dana osoba chce się kształcić (psychologia/informatyka/marketing) i ułożenie planu zajęć bardziej praktycznych","Tak","3","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Targi Pracy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Tak","Tak","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Pracująca/-y","3-5 lat","Service Desk Analyst","QA Analyst/Tester","Nie","5800","2","2","1","1","3","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:07:53 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","UJ","2020","Psychologiczne i społeczne;Filozofia","","","","","interdyscyplinarność","mało umiejętności odnoszących się do pracy innej niż naukowa","2","oceniam te studia bardziej jako rozwój osobisty ","Tak","5","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl)","Nie","Nie","","","","","","","","","4","5","2","1","4","Kobieta","19 - 22","Związek partnerski","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/07 9:09:43 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Nie","2018","Uniwersytet im. Adama Mickiewicza w Poznaniu","Psychologiczne i społeczne;logiczne, informatyczne","multidyscyplinarne podejście od badanych zjawisk - wiedza zdobyta na poprzednich etapach jest wykorzystywana na późniejszych semestrach, wszechstronny rozwój intelektualny","Brak zorientowania prowadzących dotyczącego perspektyw zawodowych dla kognitywistów, przedstawianie kariery na uczelni jako jedynej alternatywy pracy","3","Organizując ćwiczenia, laboratoria i fakultety z umiejętności, których wymaga później pracodawca (programowanie, testowanie, prototypowanie, jeśli chodzi o branżę IT)","Tak","2","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Tak","Tak","Tak, poprzez książki i inne materiały","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Pracująca/-y","1-2 lata","Junior User Experience Designer","Front-end developer","Tak","5000","5","4","4","4","5","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:10:00 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2017","Uniwersytet Jagielloński","Psychologiczne i społeczne;Zarządzanie i marketing","Interdyscyplinarność","Za mało praktyki ","5","Stawiać na praktyczne zdobywanie wiedzy ","Tak","5","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook)","Nie","Nie","","","","","","","","","5","5","5","5","5","Kobieta","26 - 30","Zamężna, Żonaty","Polska","Miasto do 20 tys. mieszkańców"
"2020/05/07 9:10:29 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","zarzadzanie","Uniwersytet Mikołaja Kopernika w Toruniu","2015","Biologiczne i przyrodnicze;Psychologiczne i społeczne","","","","","interdyscyplinarnosc","słabe podłoże praktyczne","3","rynek sie zmienia wiec ciezko powiedziec","Tak","3","4-6 miesięcy","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez inne studia;Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny);Tak, poprzez książki i inne materiały","Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny)","Bezrobotna/-y","7-12 miesięcy","bezrobotna","ux designer","Tak","0","4","3","5","3","5","Kobieta","26 - 30","Panna, Kawaler","polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:11:20 PM GMT+2","Kognitywistyka (studia magisterskie)","Nie","Oligofrenopedagogika","","","","Tak","2014","Uniwersytet Mikołaja Kopernika w Toruniu","Psychologiczne i społeczne","Nic","Brak organizacji","1","Zmienić studia","Tak","3","2-3 miesiące","Meile, do miejsc gdzie bym chciał/-a pracowac","Tak","Tak","Tak, poprzez studia podyplomowe;Tak, poprzez kurs stacjonarny;Tak, poprzez książki i inne materiały","Tak, poprzez studia podyplomowe;Tak, poprzez kurs stacjonarny","Pracująca/-y","5-8 lat","Oligofrenopedagog","Oligofrenopedagog","Nie","3800","4","3","2","2","3","Kobieta","26 - 30","Zamężna, Żonaty","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/07 9:12:06 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2019","Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie","Psychologiczne i społeczne","To, że na studiach można dowiedzieć się wiele o różnych aspektach z wielu dziedzin i ich powiązaniach ze sobą.","słaba stroną jest to, ze nie ma z tego konkretnego zawodu np. nie jesteś informatykiem programistą, tylko kognitywistą znającym się na programowaniu (na różnych poziomach zależności od studenta lub ośrodków naukowych)","4","Wystarczy pokazać im cel, albo wiele celów, które mogą osiągnąć poprzez edukację na kognitywistyce + jakaś dodatkową. Pokazanie perspektywy, żeby prowadzący zajęcia mieli w głowie, że uczą nas tego BO coś z tego wynika. (myślę ze to się tyczy akurat nie tylko tego kierunku)  ","Tak","4","0-1 miesiąc","Biuro Karier;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez kurs stacjonarny;Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały;Szkolenia ","Nie","Pracująca/-y;Studentka/-","7-12 miesięcy","Trenera i obsługi klienta ","trenera, coacha, naukowca  ","Tak","2500","4","4","4","3","3","Mężczyzna","23 - 25","Zamężna, Żonaty","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/07 9:12:59 PM GMT+2","Kognitywistyka (studia licencjackie)","Nie","Zarządzanie reklamą","UAM (1,2 rok), UJ (3 rok i obrona)","2016","Psychologiczne i społeczne","","","","","Wiedza z obszaru analizy danych - obecnie wykorzystuję w pracy","Brak koncentracji, zbyt duży obszar","3","Miks z drugim kierunkiem - świetna sprawa.  Kogni daje dużo wiedzy, a drugi kierunek-praktyki bardziej przekładającej się na skille zawodowe","Tak","4","Powyżej 12 miesięcy","Zrobilam magisterkę na innym kierunku  i zaczęłam pracę w ramach stażu","Nie","Tak","Tak, poprzez inne studia;Tak, poprzez inne studia - nie bylam zmuszona, jeszcze zanim zaczelam szukac pracy stwoerdzilam ze to wlasciwy krok i rzeczywiscie okazalo sie to strzalem w 10","Tak, poprzez inne studia","Pracująca/-y","3-5 lat","Social media","Obecny :)","Tak","6000","5","4","4","4","4","Kobieta","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:13:38 PM GMT+2","Kognitywistyka (studia licencjackie)","Nie","tak panie Informatyke","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2017","Informatyczne;Metodologia","","","","","metodologia","zajecia z zurkiem","1","wiecej programowania, takiego wartościowego nie prolog i lisp wtf  ","Tak","5","0-1 miesiąc","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl)","Tak","Tak","Tak, poprzez inne studia;Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny);Tak, poprzez kurs stacjonarny;Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez inne studia;Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny);Tak, poprzez kurs stacjonarny;Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Pracująca/-y","3-5 lat","linux admin/devoos engineer","25","Tak","20000","5","5","2","1","3","Mężczyzna","26 - 30","Panna, Kawaler","Bolska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:15:06 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Filozofia","Uniwersytet Warszawski","2017","Informatyczne;Matematyczne","","","","","Szeroko zakrojone, przekazują wiedzę z bardzo wielu różnych dziedzin.","Bardzo słabe przygotowanie matematyczne i programistyczne, co uniemożliwia wielu studentom poważne zaangażowanie w badania; to jest specyfika kognitywistyka w Polsce - zagraniczne zwykle mają dużo silniejszy matematyczno-informatyczny komponent.","4","Więcej ""praktycznych"" zajęć obieralnych","Tak","2","Pracowałam/-em już w trakcie studiów","Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Targi Pracy","Nie","Tak","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Nie","Pracująca/-y;Studentka/-","1-2 lata","Inżynier uczenia maszynowego","Wykonywany","Tak","9000","4","5","2","4","4","Mężczyzna","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:17:51 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2019","Uniwersytet im. Adama Mickiewicza w Poznaniu","Biologiczne i przyrodnicze;Informatyczne","Mam je za sobą.","Braki kadrowe, mnóstwo przedmiotów-zapychaczy niezwiązanych z kognitywistyką.","1","","Tak","3","Pracowałam/-em już w trakcie studiów","Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl)","Nie","Tak","Tak, poprzez książki i inne materiały","Tak, poprzez książki i inne materiały","Pracująca/-y","3-5 lat","","","Nie","6000","3","3","4","1","4","Kobieta","23 - 25","Zamężna, Żonaty","","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:25:35 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","UX design","Uniwersytet Jagielloński","2018","Psychologiczne i społeczne","","","","","Przegladowosc i szeroka aplikowalnosc tej wiedzy w różnych branżach","Konieczność posiadania własnego pomysłu na siebie i zdobywanie specjalistycznej wiedzy we własnym zakresie","4","","Tak","4","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Targi Pracy","Nie","Tak","Tak, poprzez inne studia;Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Nie","Pracująca/-y","1-2 lata","UX designer","UX designer :D","Tak","7500","5","4","5","5","5","Mężczyzna","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
